fid,VarZ,X,Y
"813",0,"678285","3376055"
"814",0,"678385","3376055"
"815",0,"678485","3376055"
"816",0,"678585","3376055"
"817",0,"678685","3376055"
"818",0,"678785","3376055"
"819",0,"678885","3376055"
"820",0,"678985","3376055"
"821",0,"679085","3376055"
"822",0,"679185","3376055"
"823",0,"679285","3376055"
"824",0,"679385","3376055"
"825",0,"679485","3376055"
"826",0,"679585","3376055"
"827",0,"679685","3376055"
"828",0,"679785","3376055"
"829",0,"679885","3376055"
"830",0,"679985","3376055"
"831",0,"680085","3376055"
"832",0,"680185","3376055"
"833",0,"680285","3376055"
"834",0,"680385","3376055"
"835",0,"680485","3376055"
"836",0,"680585","3376055"
"837",0,"680685","3376055"
"838",0,"680785","3376055"
"839",0,"680885","3376055"
"840",0,"680985","3376055"
"841",0,"681085","3376055"
"842",0,"681185","3376055"
"843",0,"681285","3376055"
"844",0,"681385","3376055"
"845",0,"681485","3376055"
"846",0,"681585","3376055"
"847",0,"681685","3376055"
"848",0,"681785","3376055"
"849",0,"681885","3376055"
"850",0,"681985","3376055"
"851",0,"682085","3376055"
"852",0,"682185","3376055"
"853",0,"682285","3376055"
"854",0,"682385","3376055"
"855",0,"682485","3376055"
"856",0,"682585","3376055"
"857",0,"682685","3376055"
"858",0,"682785","3376055"
"859",0,"682885","3376055"
"860",0,"682985","3376055"
"861",0,"683085","3376055"
"862",0,"683185","3376055"
"863",0,"683285","3376055"
"864",0,"683385","3376055"
"865",0,"683485","3376055"
"866",0,"683585","3376055"
"867",0,"683685","3376055"
"868",0,"683785","3376055"
"869",0,"683885","3376055"
"870",0,"683985","3376055"
"871",0,"684085","3376055"
"872",0,"684185","3376055"
"873",0,"684285","3376055"
"874",0,"684385","3376055"
"875",0,"684485","3376055"
"876",0,"684585","3376055"
"877",0,"684685","3376055"
"878",0,"684785","3376055"
"879",0,"684885","3376055"
"880",0,"684985","3376055"
"881",0,"685085","3376055"
"882",0,"685185","3376055"
"883",0,"685285","3376055"
"884",0,"685385","3376055"
"885",0,"685485","3376055"
"886",0,"685585","3376055"
"887",0,"685685","3376055"
"888",0,"685785","3376055"
"889",0,"685885","3376055"
"890",0,"685985","3376055"
"891",0,"686085","3376055"
"892",0,"686185","3376055"
"893",0,"686285","3376055"
"894",0,"686385","3376055"
"895",0,"686485","3376055"
"896",0,"686585","3376055"
"897",0,"686685","3376055"
"898",0,"686785","3376055"
"899",0,"686885","3376055"
"900",0,"686985","3376055"
"901",0,"687085","3376055"
"902",0,"687185","3376055"
"903",0,"687285","3376055"
"904",0,"687385","3376055"
"905",0,"687485","3376055"
"906",0,"687585","3376055"
"907",0,"687685","3376055"
"908",0,"687785","3376055"
"909",0,"687885","3376055"
"910",0,"687985","3376055"
"911",0,"688085","3376055"
"912",0,"688185","3376055"
"913",0,"688285","3376055"
"914",0,"688385","3376055"
"915",0,"688485","3376055"
"916",0,"688585","3376055"
"917",0,"688685","3376055"
"918",0,"688785","3376055"
"919",0,"688885","3376055"
"920",0,"688985","3376055"
"921",0,"689085","3376055"
"922",0,"689185","3376055"
"923",0,"689285","3376055"
"924",0,"689385","3376055"
"925",0,"689485","3376055"
"926",0,"689585","3376055"
"927",0,"689685","3376055"
"928",0,"689785","3376055"
"929",0,"689885","3376055"
"930",0,"689985","3376055"
"931",0,"690085","3376055"
"932",0,"690185","3376055"
"933",0,"690285","3376055"
"934",0,"690385","3376055"
"935",0,"690485","3376055"
"936",0,"690585","3376055"
"937",0,"690685","3376055"
"938",0,"690785","3376055"
"939",0,"690885","3376055"
"940",0,"690985","3376055"
"941",0,"691085","3376055"
"942",0,"691185","3376055"
"943",0,"691285","3376055"
